                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.5804,                 5.8758,                  4.236,                  5e-05,                0.00446,                  3e-05,                      0,                 5.3889,                 4.9095,                 4.1597,              4.545e-05,              4.545e-05,              4.545e-05
                      2,                 5.6087,                 5.6884,                 4.2372,                  5e-05,                0.00446,                  3e-05,                      0,                 5.3885,                 4.9043,                   4.16,              9.997e-05,              9.997e-05,              9.997e-05
                      3,                 5.4384,                 5.5028,                 4.1966,                  5e-05,                0.00446,                  3e-05,                      0,                   5.39,                 4.8992,                 4.1601,             0.00015447,             0.00015447,             0.00015447
                      4,                 5.4468,                 5.4638,                  4.197,                  5e-05,                0.00446,                  3e-05,                      0,                   5.39,                 4.8908,                 4.1602,             0.00020895,             0.00020895,             0.00020895
                      5,                 5.3999,                 5.5213,                 4.1856,                  5e-05,                0.00446,                  3e-05,                      0,                 5.3897,                 4.8826,                 4.1617,              0.0002634,              0.0002634,              0.0002634
                      6,                 5.6541,                 5.5102,                 4.1784,                  5e-05,                0.00446,                  3e-05,                      0,                 5.3898,                 4.8728,                 4.1637,             0.00031784,             0.00031784,             0.00031784
                      7,                 5.2662,                  5.286,                 4.1318,                  7e-05,                0.00223,                  4e-05,                  1e-05,                   5.39,                 4.8574,                 4.1687,             0.00037225,             0.00037225,             0.00037225
                      8,                 5.1049,                 5.2559,                  4.061,                  6e-05,                0.00223,                  3e-05,                  1e-05,                 5.3864,                 4.7335,                 4.1778,             0.00042664,             0.00042664,             0.00042664
                      9,                 5.2106,                 5.1668,                 3.9807,                  6e-05,                0.00446,                  3e-05,                  1e-05,                 5.3845,                  4.702,                 4.1975,             0.00048101,             0.00048101,             0.00048101
                     10,                 5.1991,                 5.0596,                 3.8746,                  5e-05,                0.00446,                  3e-05,                      0,                 5.3777,                  4.718,                 4.2193,             0.00053535,             0.00053535,             0.00053535
                     11,                 5.0119,                 4.8586,                 3.8965,                  5e-05,                0.00446,                  3e-05,                  1e-05,                 5.3716,                  4.754,                 4.2228,             0.00058968,             0.00058968,             0.00058968
                     12,                 4.7763,                 4.7507,                 3.7585,                  6e-05,                0.00446,                  3e-05,                  1e-05,                 5.3376,                 4.9049,                 4.3035,             0.00064398,             0.00064398,             0.00064398
                     13,                 4.6359,                 4.5394,                 3.6936,                  6e-05,                0.00446,                  3e-05,                  1e-05,                 5.3113,                 4.9863,                 4.3203,             0.00069827,             0.00069827,             0.00069827
                     14,                 4.7209,                 4.5374,                  3.618,                  6e-05,                0.00446,                  3e-05,                      0,                 5.2705,                 5.1979,                 4.4287,             0.00075253,             0.00075253,             0.00075253
                     15,                 4.6911,                 4.4175,                 3.5857,                  6e-05,                0.00446,                  3e-05,                  1e-05,                 5.2576,                 5.2308,                 4.4609,             0.00080677,             0.00080677,             0.00080677
                     16,                 4.4781,                 4.1546,                 3.4731,                  6e-05,                0.00446,                  3e-05,                  1e-05,                 5.2682,                 5.2504,                  4.504,             0.00086099,             0.00086099,             0.00086099
                     17,                 4.3865,                 4.3423,                 3.3752,                  6e-05,                0.00446,                  3e-05,                      0,                 5.2926,                 5.3161,                 4.5563,             0.00090612,             0.00090612,             0.00090612
                     18,                 4.5506,                 4.3393,                 3.3525,                  3e-05,                0.00223,                  2e-05,                      0,                 5.3184,                 5.3112,                 4.5752,             0.00090594,             0.00090594,             0.00090594
                     19,                 4.2739,                 4.1681,                 3.3123,                  4e-05,                0.00223,                  2e-05,                      0,                 5.3194,                 5.3064,                 4.5773,             0.00090576,             0.00090576,             0.00090576
